Intention,Risk,Age,Sex,Race,Student,Income,Treatment,Payment,,Mean,Random
Interesados,8,21-8,Masculino,Mestiza,Sí,2001 o más,Mean,6.43,,,
Racionales,8,30-9,Femenino,Indígena,Sí,401 a 800,Mean,6.5,,,
Cooperativos,10,21-6,Masculino,Mestiza,Sí,2001 o más,Mean,6.13,,,
Hostiles,6,21-8,Femenino,Mestiza,Sí,1601 a 2000,Mean,5.49,,,
Racionales,8,18-11,Femenino,Mestiza,Sí,2001 o más,Mean,5.67,,,
Interesados,4,18-8,Femenino,Mestiza,Sí,401 a 800,Mean,6.96,,,
Cooperativos,9,24-1,Femenino,Mestiza,Sí,2001 o más,Random,7.41,,,
Racionales,4,21-1,Femenino,Mestiza,Sí,2001 o más,Random,5.49,,,
Hostiles,8,20-6,Masculino,Mestiza,Sí,801 a 1200,Random,6.17,,,
Cooperativos,10,25-8,Femenino,Mestiza,Sí,1601 a 2000,Random,6.84,,,
Cooperativos,8,23-9,Masculino,Mestiza,Sí,801 a 1200,Random,7.3,,,
Hostiles,7,19-11,Femenino,Mestiza,Sí,2001 o más,Random,5.75,,,
Interesados,4,20-1,Masculino,Mestiza,Sí,1201 a 1600,Random,7.21,,,
Hostiles,10,23,Femenino,Prefiero no decir,No,401 a 800,Random,5.46,,,
Interesados,8,22-8,Femenino,Mestiza,Sí,801 a 1200,Random,6.38,,,
Interesados,6,20-4,Femenino,Mestiza,Sí,400 o menos,Random,6.07,,,
Hostiles,6,21-1,Femenino,Mestiza,Sí,801 a 1200,Random,6.56,,,
Interesados,6,23-1,Femenino,Mestiza,Sí,1201 a 1600,Random,6.2,,,
Cooperativos,10,18-11,Femenino,Mestiza,Sí,2001 o más,Random,5.97,,,
Cooperativos,10,25-6,Masculino,Afro-Ecuatoriana,Sí,801 a 1200,Random,6.55,,,
Interesados,7,20-7,Masculino,Mestiza,Sí,2001 o más,Random,6.32,,,
Hostiles,4,24,Masculino,Indígena,Sí,801 a 1200,Random,5.85,,,
Interesados,10,19-9,Femenino,Mestiza,Sí,400 o menos,Random,6.09,,,
Racionales,8,23-2,Femenino,Mestiza,Sí,801 a 1200,Random,5.92,,,
Interesados,8,23-10,Femenino,Indígena,Sí,400 o menos,Random,5.13,,,
Racionales,9,24-1,Masculino,Mestiza,Sí,2001 o más,Random,4.83,,,
Racionales,10,21-2,Masculino,Mestiza,Sí,2001 o más,Random,5.27,,,
Racionales,8,20-11,Masculino,Mestiza,Sí,401 a 800,Random,7.06,,,
Interesados,7,18-8,Femenino,Mestiza,Sí,2001 o más,Random,7.2,,,
Interesados,6,22-1,Femenino,Mestiza,Sí,1601 a 2000,Random,5.5,,,
Cooperativos,7,20-11,Masculino,Mestiza,Sí,2001 o más,Random,6.93,,,
Racionales,7,22-10,Femenino,Mestiza,Sí,1601 a 2000,Random,7.48,,,
Interesados,7,23-6,Femenino,Indígena,Sí,801 a 1200,Random,5.54,,,
Hostiles,8,24-8,Masculino,Mestiza,No,2001 o más,Random,6.96,,,
Generosos,10,25,Masculino,Mestiza,No,1201 a 1600,Random,5.26,,,
Racionales,10,24-5,Masculino,Mestiza,Sí,1201 a 1600,Random,7.83,,,
Irracionales,9,22-6,Femenino,Indígena,Sí,401 a 800,Random,6.98,,,
Cooperativos,8,21-8,Femenino,Mestiza,Sí,1201 a 1600,Random,7.95,,,
Cooperativos,10,25-6,Femenino,Mestiza,Sí,1201 a 1600,Random,6.35,,,
Generosos,5,22,Femenino,Mestiza,Sí,1201 a 1600,Random,7.01,,,
Racionales,9,21-0,Femenino,Blanca,Sí,2001 o más,Random,6.29,,,
Interesados,9,27-7,Masculino,Mestiza,Sí,401 a 800,Random,7.18,,,
Interesados,6,23-4,Femenino,Mestiza,Sí,400 o menos,Random,6.12,,,
Irracionales,8,21-8,Femenino,Mestiza,Sí,2001 o más,Random,4.37,,,
Cooperativos,8,20-1,Femenino,Mestiza,Sí,801 a 1200,Random,5.92,,,
Interesados,9,21-10,Femenino,Mestiza,Sí,1201 a 1600,Random,7,,,
Hostiles,8,25,Femenino,Mestiza,No,1601 a 2000,Random,5.19,,,
Interesados,7,20-4,Femenino,Mestiza,Sí,1201 a 1600,Random,6.89,,,
Irracionales,8,19-10,Masculino,Mestiza,Sí,2001 o más,Random,5.29,,,
Generosos,9,22,Masculino,Mestiza,Sí,401 a 800,Random,6.58,,,
Cooperativos,6,20-1,Femenino,Mestiza,Sí,801 a 1200,Random,7.2,,,
Irracionales,7,25-11,Masculino,Mestiza,Sí,801 a 1200,Random,5.05,,,
Interesados,9,22-6,Masculino,Mestiza,Sí,1201 a 1600,Random,6.83,,,
Generosos,9,23-9,Masculino,Mestiza,Sí,1601 a 2000,Random,6.38,,,
Racionales,7,21-11,Femenino,Mestiza,Sí,1201 a 1600,Random,7.73,,,
Hostiles,6,21,Femenino,Mestiza,Sí,1601 a 2000,Random,6.11,,,
Racionales,5,19-9,Femenino,Mestiza,Sí,2001 o más,Random,6.68,,,
Interesados,10,22-6,Masculino,Mestiza,Sí,1201 a 1600,Random,6.83,,,
Hostiles,10,19-5,Masculino,Mestiza,Sí,1601 a 2000,Random,5.81,,,
Hostiles,7,19-5,Masculino,Mestiza,Sí,1201 a 1600,Random,6.07,,,
Cooperativos,10,21-12,Femenino,Mestiza,Sí,2001 o más,Random,6.07,,,
Interesados,9,20,Femenino,Mestiza,Sí,1201 a 1600,Random,6.91,,,
Racionales,6,19-7,Femenino,Mestiza,Sí,2001 o más,Random,6.57,,,
Racionales,6,19-4,Femenino,Mestiza,Sí,1201 a 1600,Random,5.96,,,
Cooperativos,7,19-7,Masculino,Mestiza,Sí,1201 a 1600,Random,6.62,,,
Irracionales,10,23,Femenino,Mestiza,No,2001 o más,Random,5.75,,,
